county,fiscal_year,total_tiv
Alameda,2025,18552360134
Alameda,2024,9822579031
Alameda,2023,4112147801
Alameda,2022,3047740652
Alameda,2021,2168948832
Alpine,2025,330839876
Alpine,2024,276712560
Alpine,2023,222282425
Alpine,2022,1790491601
Alpine,2021,33634788
Amador,2025,5112500719
Amador,2024,4365314159
Amador,2023,3526367836
Amador,2022,2808434094
Amador,2021,2305390502
Butte,2025,7280278840
Butte,2024,6052068909
Butte,2023,4007419450
Butte,2022,2472656045
Butte,2021,1983546684
Calaveras,2025,8987677408
Calaveras,2024,7730480439
Calaveras,2023,6505003809
Calaveras,2022,4970383068
Calaveras,2021,3935377055
Colusa,2025,47803840
Colusa,2024,29990561
Colusa,2023,25520070
Colusa,2022,197563866
Colusa,2021,414190
Contra Costa,2025,22939890154
Contra Costa,2024,10792344863
Contra Costa,2023,2634687162
Contra Costa,2022,13865137479
Contra Costa,2021,48922600
Del Norte,2025,349294830
Del Norte,2024,194691392
Del Norte,2023,107233824
Del Norte,2022,752719904
Del Norte,2021,9869705
El Dorado,2025,28345747025
El Dorado,2024,22665633656
El Dorado,2023,16310111502
El Dorado,2022,12343524794
El Dorado,2021,10305466446
Fresno,2025,4891221940
Fresno,2024,3709696894
Fresno,2023,2785240426
Fresno,2022,2225601356
Fresno,2021,1771945293
Glenn,2025,36983950
Glenn,2024,26378389
Glenn,2023,20334407
Glenn,2022,157975537
Glenn,2021,495266
Humboldt,2025,2094513504
Humboldt,2024,1443675653
Humboldt,2023,916660468
Humboldt,2022,6470406994
Humboldt,2021,94837877
Imperial,2025,388742336
Imperial,2024,239605518
Imperial,2023,113861824
Imperial,2022,818117227
Imperial,2021,4450011
Inyo,2025,228878444
Inyo,2024,157026373
Inyo,2023,67069027
Inyo,2022,350156612
Inyo,2021,2342053
Kern,2025,6668598774
Kern,2024,4593896136
Kern,2023,2762174367
Kern,2022,2013989565
Kern,2021,1591222251
Kings,2025,115363247
Kings,2024,70826017
Kings,2023,33155040
Kings,2022,185135517
Kings,2021,635521
Lake,2025,3947932246
Lake,2024,3238284376
Lake,2023,2291666306
Lake,2022,14665646259
Lake,2021,28661671
Lassen,2025,712756098
Lassen,2024,526593735
Lassen,2023,241895201
Lassen,2022,1198250867
Lassen,2021,7784707
Los Angeles,2025,170687950518
Los Angeles,2024,112192508714
Los Angeles,2023,73326389990
Los Angeles,2022,59409764435
Los Angeles,2021,49876764894
Madera,2025,4457215223
Madera,2024,3532565848
Madera,2023,2643724945
Madera,2022,2117098543
Madera,2021,1363935261
Marin,2025,7398856881
Marin,2024,4557038969
Marin,2023,2303376499
Marin,2022,1582615110
Marin,2021,1142463475
Mariposa,2025,2499034378
Mariposa,2024,2145789823
Mariposa,2023,1697110152
Mariposa,2022,14268092269
Mariposa,2021,32427361
Mendocino,2025,4148777342
Mendocino,2024,3253809567
Mendocino,2023,2167660062
Mendocino,2022,14467153029
Mendocino,2021,86428845
Merced,2025,313379124
Merced,2024,131639060
Merced,2023,67350297
Merced,2022,372302872
Merced,2021,6860074
Modoc,2025,177055346
Modoc,2024,107713136
Modoc,2023,43970579
Modoc,2022,259948311
Modoc,2021,1885785
Mono,2025,1957981074
Mono,2024,1384089871
Mono,2023,900640149
Mono,2022,5639364632
Mono,2021,85504153
Monterey,2025,7883688398
Monterey,2024,6106290043
Monterey,2023,4102726435
Monterey,2022,3218847657
Monterey,2021,2059396364
Napa,2025,5468603951
Napa,2024,4195692067
Napa,2023,3285533767
Napa,2022,2395355012
Napa,2021,1170342795
Nevada,2025,27179821914
Nevada,2024,21495267656
Nevada,2023,16851981412
Nevada,2022,12419819697
Nevada,2021,9520620286
Orange,2025,32410972426
Orange,2024,18144078923
Orange,2023,7909898676
Orange,2022,5150836406
Orange,2021,3945384588
Placer,2025,23071327504
Placer,2024,18159454985
Placer,2023,13027123258
Placer,2022,9948876151
Placer,2021,8148859418
Plumas,2025,3463242415
Plumas,2024,2874346242
Plumas,2023,2262305469
Plumas,2022,1477731839
Plumas,2021,1205267241
Riverside,2025,51261178212
Riverside,2024,28438750711
Riverside,2023,13237510171
Riverside,2022,8327093945
Riverside,2021,5581456427
Sacramento,2025,1810980106
Sacramento,2024,923844550
Sacramento,2023,307695626
Sacramento,2022,1701037581
Sacramento,2021,44540583
San Benito,2025,434213146
San Benito,2024,267684248
San Benito,2023,153401146
San Benito,2022,1136617287
San Benito,2021,3934483
San Bernardino,2025,51481992522
San Bernardino,2024,37528220699
San Bernardino,2023,27416056702
San Bernardino,2022,21922054591
San Bernardino,2021,16837065912
San Diego,2025,70037078938
San Diego,2024,41204346539
San Diego,2023,22313218107
San Diego,2022,14557904061
San Diego,2021,9756752404
San Francisco,2025,4547072897
San Francisco,2024,2395076295
San Francisco,2023,879879414
San Francisco,2022,5626749354
San Francisco,2021,82828881
San Joaquin,2025,1153874720
San Joaquin,2024,661652377
San Joaquin,2023,290985201
San Joaquin,2022,1822090181
San Joaquin,2021,42840357
San Luis Obispo,2025,4764334809
San Luis Obispo,2024,3020195137
San Luis Obispo,2023,1776453713
San Luis Obispo,2022,11341538756
San Luis Obispo,2021,81376436
San Mateo,2025,6175316705
San Mateo,2024,3494591386
San Mateo,2023,1740571689
San Mateo,2022,10381604806
San Mateo,2021,63797328
Santa Barbara,2025,12590577074
Santa Barbara,2024,8594836227
Santa Barbara,2023,5649768192
Santa Barbara,2022,4280891166
Santa Barbara,2021,2784679279
Santa Clara,2025,10215120822
Santa Clara,2024,5830240428
Santa Clara,2023,2594811506
Santa Clara,2022,1824076150
Santa Clara,2021,1252442467
Santa Cruz,2025,17663370272
Santa Cruz,2024,9866250969
Santa Cruz,2023,4514347665
Santa Cruz,2022,2965959794
Santa Cruz,2021,1753255473
Shasta,2025,4574081681
Shasta,2024,3421004656
Shasta,2023,2252959910
Shasta,2022,1311525640
Shasta,2021,1002123489
Sierra,2025,429522949
Sierra,2024,362263757
Sierra,2023,271957060
Sierra,2022,2109074871
Sierra,2021,54550329
Siskiyou,2025,2398835481
Siskiyou,2024,1685907830
Siskiyou,2023,844096336
Siskiyou,2022,5288285143
Siskiyou,2021,73504787
Solano,2025,1570943290
Solano,2024,843557502
Solano,2023,375089006
Solano,2022,1500745049
Solano,2021,7166680
Sonoma,2025,12536412454
Sonoma,2024,8362548888
Sonoma,2023,5055620209
Sonoma,2022,3260317113
Sonoma,2021,1424520563
Stanislaus,2025,714411734
Stanislaus,2024,356507022
Stanislaus,2023,141817157
Stanislaus,2022,742123825
Stanislaus,2021,5455116
Sutter,2025,115075861
Sutter,2024,53918888
Sutter,2023,14913619
Sutter,2022,191054821
Sutter,2021,5811963
Tehama,2025,1005768851
Tehama,2024,816861910
Tehama,2023,527187775
Tehama,2022,2914528112
Tehama,2021,23479688
Trinity,2025,897439087
Trinity,2024,759735744
Trinity,2023,601858042
Trinity,2022,4897819704
Trinity,2021,46703621
Tulare,2025,1801135472
Tulare,2024,1345242994
Tulare,2023,942510282
Tulare,2022,6370689834
Tulare,2021,55516997
Tuolumne,2025,11202009820
Tuolumne,2024,9800419627
Tuolumne,2023,8318952600
Tuolumne,2022,6497982568
Tuolumne,2021,5456892242
Ventura,2025,21098125022
Ventura,2024,12608249761
Ventura,2023,5730021679
Ventura,2022,3964054738
Ventura,2021,2714515183
Yolo,2025,245783046
Yolo,2024,240388717
Yolo,2023,116672577
Yolo,2022,463971463
Yolo,2021,9524205
Yuba,2025,1090363876
Yuba,2024,925440524
Yuba,2023,723964592
Yuba,2022,5685342434
Yuba,2021,51801506
